param_C,param_degree,mean_test_score,mean_train_score,std_test_score,std_train_score
0.1,1,0.8237838177138912,0.8330515151992687,0.010567696461748018,0.004900878265828248
0.1,2,0.6408825560228485,0.6661081519769294,0.021060167156154615,0.006624373700689511
0.1,3,0.6464942564810746,0.6795763272767386,0.021365541452110778,0.00549257173246256
1.0,1,0.8350009415604797,0.8473619931607231,0.013747920852656536,0.0045744615196611545
1.0,2,0.768821793986567,0.8336156767574894,0.02232252958212164,0.008026251683117842
1.0,3,0.7362563555332371,0.7839493672880848,0.0030987752112863064,0.002613511961208854
2.0,1,0.8327537505492437,0.8487645177049025,0.015418844973241502,0.005449989857089437
2.0,2,0.789033958947963,0.8484851946987725,0.03083770783440935,0.005237166586085687
2.0,3,0.7564559663549055,0.8153749783317836,0.0075177549382801625,0.006213411893372396
5.0,1,0.8338710689849979,0.8504479411254866,0.016715289002704588,0.006577035051875665
5.0,2,0.8002510827945514,0.8785039475550371,0.03950788270922932,0.006379739145092687
5.0,3,0.7957441466323519,0.8574637155869329,0.025194198922932197,0.006367086794480631
10.0,1,0.8338710689849979,0.8501674362166506,0.016715289002704588,0.006193137548006655
10.0,2,0.811436821291821,0.8897339930976882,0.03273865347168746,0.007247584668708544
10.0,3,0.8069863787583955,0.877945301542777,0.02673514074621705,0.006942496493688662
25.0,1,0.8327474734793798,0.8515699607608301,0.015471544753690385,0.004244741146606371
25.0,2,0.8148076078086749,0.9012343003923917,0.03374371774412059,0.0037280578773675375
25.0,3,0.827154604230745,0.8950612225601589,0.03267042345647754,0.0010981498111466749
