param_ccp_alpha,param_max_features,param_min_samples_split,mean_test_score,mean_train_score,std_test_score,std_train_score
0.0024,40,5,0.854083233946394,0.9349047386419149,0.019224764153699687,0.009285340712372104
0.0024,40,10,0.8462306195467957,0.9169473028980255,0.014995598033801322,0.0069498550612541714
0.0024,50,2,0.8484715334881677,0.9444450572828845,0.018897504296267933,0.007013506037939914
0.0024,50,5,0.8507187244994036,0.9396752919299682,0.01840477774479485,0.007878451537883966
0.0024,50,10,0.8484652564183041,0.918349827442205,0.020842446899886735,0.00770592672684885
0.0024,70,2,0.8484652564183038,0.9475317931827852,0.023410032255352427,0.005502687685691114
0.0024,70,5,0.8484778105580315,0.9422006240446287,0.014715966122928754,0.006034487605512178
0.0024,70,10,0.8495951289937856,0.922559764880155,0.019992170905167406,0.005265612295698371
0.0036,10,2,0.8349946644906158,0.8785098570685662,0.021051242911677023,0.009465263012519638
0.0036,10,5,0.832772581758835,0.8782289581921617,0.016428225120962953,0.01070872615258007
0.0036,10,10,0.8271608813006089,0.8728989709567108,0.01859112961755259,0.011888076555077672
0.0036,20,2,0.8383717280773336,0.8956230203129678,0.01835303379572026,0.008761580942144978
0.0036,20,5,0.8372544096415794,0.8956222323778306,0.019188896826137506,0.010143863613655558
0.0036,20,10,0.8361308141359614,0.8880474179365555,0.017976649190954007,0.011266250517391337
0.0036,30,2,0.8383717280773334,0.8998309879130749,0.01729045527739227,0.007618600580933826
0.0036,30,5,0.8394953235829515,0.9031990166569488,0.018411353217594302,0.008503886620472334
0.0036,30,10,0.8395016006528154,0.8956214444426935,0.021230794869286588,0.010268134300276174
0.0036,40,2,0.8451070240411775,0.9071284491860631,0.019081563488551778,0.009134184968015026
0.0036,40,5,0.8428661100998054,0.9062857525568496,0.019186833093971997,0.009099736954327357
0.0036,40,10,0.8406251961584333,0.8987093622453,0.016154926804095797,0.011268614524034059
0.0036,50,2,0.8439771514656957,0.9124588303890825,0.02184486509429545,0.007118449365726217
0.0036,50,5,0.8394953235829515,0.9079707518477079,0.019084739047414784,0.007840648125562314
0.0036,50,10,0.8417299604544599,0.8995516649069447,0.022147868708730357,0.008890127840009315
0.0036,70,2,0.8439771514656957,0.9175094946184028,0.022415340019568436,0.005109676196376128
0.0036,70,5,0.8439897056054235,0.9144227587185023,0.017952852176821438,0.006687381532025399
0.0036,70,10,0.8428598330299415,0.9048828340451014,0.02169992584611513,0.0065326084232739615
0.005,10,2,0.827154604230745,0.8532585057598059,0.01649249668398507,0.010545127638810074
0.005,10,5,0.8226790534178645,0.8541004144538821,0.017171353423498195,0.011348728990275378
0.005,10,10,0.8215680120519743,0.8529780008509699,0.01971568989411178,0.01118857876321244
0.005,20,2,0.8293892411022534,0.8703716690042075,0.01945644609019544,0.01232886087337106
0.005,20,5,0.8316364321134895,0.8706521739130434,0.021117210552421883,0.010035893714835388
0.005,20,10,0.8282719226664993,0.8670052161306081,0.018757556883149475,0.009708860025550593
0.005,30,2,0.8327663046889711,0.880192492554013,0.020577481581129316,0.008326064960278014
0.005,30,5,0.8338773460548616,0.8785086751658604,0.01946166007132913,0.007324657961210618
0.005,30,10,0.8282844768062269,0.8793501898923679,0.021478821489433593,0.008855061341749947
0.005,40,2,0.8383780051471973,0.8844008541216887,0.018644552285880626,0.007108886393715869
