param_C,mean_test_score,mean_train_score,std_test_score,std_train_score
0.001,0.7767057937354844,0.7904033439967222,0.026643641013086146,0.004250118405001003
0.01,0.8249262444291003,0.8496080022692531,0.00945540934527263,0.007372758761196809
0.1,0.8305379448873266,0.8583040484107348,0.010713113956677652,0.006781419318023607
1.0,0.8215617349821104,0.864478702113242,0.014210953460837176,0.005706992006256433
10.0,0.8193145439708743,0.8622346628425548,0.021042316754837188,0.005815331192393799
